#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 4.971958e+04 3.146132e+03 4.990172e+04 4.823717e+04
3.546900e-02 3.980413e+04 1.798466e+03 3.826816e+04 4.007495e+04
4.536800e-02 2.973772e+04 1.130281e+03 3.006269e+04 3.220532e+04
5.531400e-02 2.610013e+04 7.895195e+02 2.566864e+04 2.625084e+04
6.525800e-02 2.273142e+04 5.746752e+02 2.266235e+04 2.186906e+04
7.520900e-02 1.884033e+04 4.555268e+02 1.942239e+04 1.849043e+04
8.517500e-02 1.554198e+04 3.439291e+02 1.597929e+04 1.574568e+04
9.515700e-02 1.327666e+04 2.678954e+02 1.321975e+04 1.358351e+04
1.051620e-01 1.146322e+04 2.112183e+02 1.141868e+04 1.181887e+04
1.151480e-01 1.018788e+04 1.800903e+02 1.027847e+04 1.037052e+04
1.251460e-01 9.395780e+03 1.559694e+02 9.302342e+03 9.153293e+03
1.351460e-01 8.570085e+03 1.344518e+02 8.289481e+03 8.132846e+03
1.451320e-01 7.411394e+03 1.115548e+02 7.314431e+03 7.277430e+03
1.551140e-01 6.364421e+03 9.833871e+01 6.487642e+03 6.539472e+03
1.651020e-01 5.804949e+03 8.789074e+01 5.851809e+03 5.907469e+03
1.751050e-01 5.259597e+03 7.739142e+01 5.348706e+03 5.363724e+03
1.850970e-01 4.937156e+03 7.086372e+01 4.912838e+03 4.897228e+03
1.950850e-01 4.550069e+03 6.339446e+01 4.513842e+03 4.495731e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.724550e+00	1.193439e+04	-4.808453e+03	3.671796e+02	9.245617e+00	1.974293e+04	-4.575874e+03	-8.854666e+02	1.385000e+01	 9.030000e+00	 5.652060e-01	 1.045088e+00	 9.543137e-01	 5.044296e+01	 72-17
